Date,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat)
1 Jan,7219.42,6617.80,5414.56,4211.33,3008.09
2 Jan,7334.95,6723.70,5501.21,4278.72,3056.23
3 Jan,7283.00,6676.08,5462.25,4248.42,3034.58
6 Jan,7258.62,6653.73,5443.96,4234.19,3024.42
7 Jan,7307.40,6698.45,5480.55,4262.65,3044.75
8 Jan,7354.60,6741.72,5515.95,4290.18,3064.42
9 Jan,7377.67,6762.86,5533.25,4303.64,3074.03
10 Jan,7452.79,6831.73,5589.60,4347.46,3105.33
13 Jan,7427.09,6808.16,5570.32,4332.47,3094.62
14 Jan,7443.33,6823.05,5582.50,4341.94,3101.39
15 Jan,7492.43,6868.06,5619.32,4370.58,3121.85
16 Jan,7555.16,6925.57,5666.37,4407.18,3147.99
17 Jan,7522.03,6895.19,5641.52,4387.85,3134.18
20 Jan,7511.70,6885.73,5633.78,4381.83,3129.88
21 Jan,7624.48,6989.11,5718.36,4447.61,3176.87
22 Jan,7660.36,7022.00,5745.27,4468.55,3191.82
23 Jan,7656.95,7018.87,5742.71,4466.55,3190.39
24 Jan,7680.11,7040.10,5760.08,4480.06,3200.04
27 Jan,7620.02,6985.02,5715.02,4445.01,3175.01
28 Jan,7696.79,7055.39,5772.59,4489.79,3206.99
29 Jan,7689.02,7048.27,5766.76,4485.26,3203.76
30 Jan,7785.28,7136.50,5838.96,4541.41,3243.87
31 Jan,7800.37,7150.34,5850.28,4550.22,3250.15
3 Feb,7866.55,7211.01,5899.92,4588.82,3277.73
4 Feb,7954.38,7291.51,5965.78,4640.05,3314.32
5 Feb,8055.77,7384.45,6041.83,4699.20,3356.57
6 Feb,8048.48,7377.78,6036.36,4694.95,3353.54
7 Feb,8075.80,7402.81,6056.85,4710.88,3364.92
